campaign_id,campaign_name,project_id,platform,channel,start_date,end_date,campaign_objective,spend,impressions,clicks,landing_page_visits,leads,qualified_leads,appointments,site_visits,reservations,contracts,contracted_sales_value,attributed_revenue,agency,creative_theme,audience_segment
CMP-0030,Coastline North - TikTok - New Phase Launch,CST,Paid Social,TikTok,2026-04-28,2026-06-03,Lead Generation,67445.69,1418587,1809,1488,282,164,88,57,14,10,49278769.72,47707751.81,In-House,Price Drop / Limited Units,High Net Worth
CMP-0031,Coastline North - Outdoor - Lifestyle & Community,CST,Offline,Outdoor,2026-04-04,2026-06-04,Retargeting,137263.82,2852471,1161,865,144,62,25,16,3,2,8793046.62,8320380.23,In-House,Lifestyle & Community,High Net Worth
CMP-0032,Coastline North - WhatsApp - Referral Bonus,CST,Direct,WhatsApp,2026-04-26,2026-05-14,Launch Announcement,4603.38,96143,1233,505,142,83,40,29,7,5,22007930.92,21501345.03,In-House,Summer Getaway,First-Time Buyer
CMP-0033,Coastline North - TikTok - Ramadan Campaign,CST,Paid Social,TikTok,2024-09-30,2024-11-18,Launch Announcement,238886.06,4812234,16009,5753,1256,550,285,205,57,45,182684048.19,174050591.59,In-House,Investment Returns,First-Time Buyer
CMP-0034,Coastline North - Referrals - Ramadan Campaign,CST,Referral,Referrals,2025-11-30,2026-02-06,Retargeting,10123.27,189797,1431,572,121,68,33,22,5,3,14258099.83,14131298.66,In-House,New Phase Launch,High Net Worth
CMP-0035,Coastline North - Referrals - Summer Getaway,CST,Referral,Referrals,2025-09-11,2025-11-02,Retargeting,18816.39,295893,1130,673,187,106,42,31,8,4,20239205.52,18283128.26,In-House,Ramadan Campaign,Mass Affluent
CMP-0036,Coastline North - Organic Website - Summer Getaway,CST,Organic,Organic Website,2025-09-26,2025-11-25,Lead Generation,7881.72,72882,1441,536,112,59,30,18,3,1,5062405.49,4686180.44,In-House,Ramadan Campaign,Expat / Non-Resident
CMP-0037,Coastline North - Outdoor - Payment Plan Offer,CST,Offline,Outdoor,2025-05-22,2025-07-29,Retargeting,510078.16,6604959,8655,2005,660,280,119,69,14,8,32577727.62,32083779.28,Cairo Growth Partners,Summer Getaway,Expat / Non-Resident
CMP-0038,Coastline North - Google Display - Payment Plan Offer,CST,Paid Display,Google Display,2026-01-10,2026-02-03,Retargeting,71419.74,915730,2843,1295,281,125,46,33,7,4,20084168.15,19825257.9,Momentum Digital,Ramadan Campaign,Expat / Non-Resident
CMP-0039,Coastline North - WhatsApp - Price Drop / Limited Units,CST,Direct,WhatsApp,2025-07-07,2025-08-09,Brand Awareness,13554.87,113908,2613,1518,248,120,64,49,12,7,34352659.38,31243159.11,In-House,Ramadan Campaign,Investor
CMP-0040,Coastline North - Google Search - Lifestyle & Community,CST,Paid Search,Google Search,2026-04-10,2026-05-05,Lead Generation,152424.36,2449426,1564,1448,242,136,61,35,8,4,20929022.68,20458740.95,In-House,Price Drop / Limited Units,High Net Worth
CMP-0041,Coastline North - Outdoor - New Phase Launch,CST,Offline,Outdoor,2025-09-29,2025-12-09,Retargeting,491277.9,5928334,4212,4342,638,382,157,120,39,27,111576212.44,104901606.23,Cairo Growth Partners,Summer Getaway,Investor
CMP-0042,Coastline North - Organic Website - Lifestyle & Community,CST,Organic,Organic Website,2025-06-23,2025-07-19,Brand Awareness,12294.55,113228,1752,492,160,72,38,22,4,2,8334255.29,8238361.96,Momentum Digital,Payment Plan Offer,Mass Affluent
CMP-0043,Vertex Business District - Brokers - Payment Plan Offer,VTX,Broker Network,Brokers,2025-08-14,2025-10-22,Lead Generation,0.0,36729,729,367,70,31,15,9,2,1,5260268.11,4783401.96,Momentum Digital,Price Drop / Limited Units,High Net Worth
CMP-0044,Vertex Business District - TikTok - Referral Bonus,VTX,Paid Social,TikTok,2025-01-29,2025-03-08,Lead Generation,74941.06,1574800,4425,2126,353,208,101,70,14,8,47763626.75,45696816.24,Momentum Digital,Payment Plan Offer,High Net Worth
CMP-0045,Vertex Business District - LinkedIn - Grand Opening,VTX,Paid Social,LinkedIn,2025-04-09,2025-05-29,Lead Generation,59819.32,502776,599,373,67,33,14,10,1,0,0.0,0.0,In-House,Referral Bonus,Mass Affluent
CMP-0046,Vertex Business District - Outdoor - Investment Returns,VTX,Offline,Outdoor,2025-06-26,2025-07-30,Launch Announcement,348058.29,4680043,5633,1521,486,204,98,62,20,12,67833382.54,64300191.51,Momentum Digital,Investment Returns,Expat / Non-Resident
CMP-0047,Vertex Business District - Brokers - Referral Bonus,VTX,Broker Network,Brokers,2025-10-05,2025-12-06,Retargeting,0.0,12737,890,258,69,36,17,11,3,2,10620223.81,10606618.83,Momentum Digital,Investment Returns,Investor
CMP-0048,Vertex Business District - Referrals - Referral Bonus,VTX,Referral,Referrals,2025-07-19,2025-09-17,Lead Generation,9656.68,199737,1279,777,113,68,31,18,5,3,15934419.56,14617356.35,In-House,Referral Bonus,First-Time Buyer
CMP-0049,Vertex Business District - Referrals - Lifestyle & Community,VTX,Referral,Referrals,2025-01-06,2025-02-06,Brand Awareness,16519.6,304700,1499,889,146,88,37,22,4,3,16434767.12,15667005.88,In-House,Grand Opening,Investor
CMP-0050,Vertex Business District - Google Search - New Phase Launch,VTX,Paid Search,Google Search,2025-12-08,2026-02-17,Brand Awareness,271390.3,5204819,6842,2508,610,261,117,86,18,13,66930724.45,64687116.11,In-House,Ramadan Campaign,Mass Affluent
CMP-0051,Vertex Business District - Meta - Ramadan Campaign,VTX,Paid Social,Meta,2025-08-04,2025-09-14,Retargeting,205001.75,2262490,3882,2928,535,243,130,93,27,15,78718492.48,75036986.68,In-House,Grand Opening,Expat / Non-Resident
CMP-0052,Vertex Business District - Organic Website - Price Drop / Limited Units,VTX,Organic,Organic Website,2025-09-14,2025-10-07,Brand Awareness,6810.51,108223,872,597,102,59,27,15,3,1,4909503.95,4445935.71,In-House,Referral Bonus,First-Time Buyer
CMP-0053,Vertex Business District - Events - Grand Opening,VTX,Offline,Events,2024-08-21,2024-10-13,Lead Generation,424876.51,5697942,4590,1195,347,190,87,54,10,7,34018781.97,33142814.87,Momentum Digital,Ramadan Campaign,High Net Worth
CMP-0054,Vertex Business District - Outdoor - New Phase Launch,VTX,Offline,Outdoor,2025-10-27,2025-12-05,Lead Generation,359074.36,6512790,3479,2468,480,203,103,60,13,7,35688138.18,35354713.2,Momentum Digital,Investment Returns,High Net Worth
CMP-0055,Vertex Business District - Property Portals - Price Drop / Limited Units,VTX,Listings,Property Portals,2024-12-01,2025-01-09,Retargeting,132698.67,2385418,3274,1589,242,106,42,33,7,3,17330851.91,15608654.43,Momentum Digital,Summer Getaway,Expat / Non-Resident
CMP-0056,Vertex Business District - Property Portals - Referral Bonus,VTX,Listings,Property Portals,2025-08-19,2025-10-29,Launch Announcement,113365.57,2299665,1623,1661,262,144,68,51,10,6,32381499.58,29425061.32,Cairo Growth Partners,Investment Returns,Investor
CMP-0057,Haven West - Events - Investment Returns,HVW,Offline,Events,2025-04-27,2025-07-10,Retargeting,417418.15,4759022,2647,2384,386,210,78,57,18,14,41649987.59,37745497.2,In-House,Lifestyle & Community,Expat / Non-Resident
CMP-0058,Haven West - Outdoor - Investment Returns,HVW,Offline,Outdoor,2024-08-17,2024-10-21,Brand Awareness,267019.08,5252257,2492,1556,225,115,41,30,9,5,14264115.54,14202282.1,Momentum Digital,Referral Bonus,Investor
CMP-0059,Haven West - Property Portals - Summer Getaway,HVW,Listings,Property Portals,2025-01-20,2025-02-13,Brand Awareness,126022.26,1587948,3100,1708,285,119,43,25,7,4,10079569.31,9686966.04,Momentum Digital,Investment Returns,Investor
CMP-0060,Haven West - Outdoor - Referral Bonus,HVW,Offline,Outdoor,2025-07-22,2025-08-27,Brand Awareness,387769.45,6801211,2850,1521,318,152,75,43,14,9,20380992.66,18602210.68,Cairo Growth Partners,Summer Getaway,Expat / Non-Resident
CMP-0061,Haven West - Property Portals - Summer Getaway,HVW,Listings,Property Portals,2025-12-30,2026-03-04,Retargeting,131633.73,1864464,3317,1441,299,164,60,43,12,8,19215314.65,17951725.48,In-House,Price Drop / Limited Units,Expat / Non-Resident
CMP-0062,Haven West - TikTok - Grand Opening,HVW,Paid Social,TikTok,2025-08-14,2025-09-23,Launch Announcement,175866.77,3429586,6039,2031,660,305,127,71,17,11,27088762.41,25400686.18,In-House,Grand Opening,First-Time Buyer
CMP-0063,Haven West - Brokers - Price Drop / Limited Units,HVW,Broker Network,Brokers,2025-03-14,2025-05-08,Lead Generation,0.0,29819,193,179,28,16,7,5,1,0,0.0,0.0,Cairo Growth Partners,Referral Bonus,High Net Worth
CMP-0064,Haven West - Referrals - Referral Bonus,HVW,Referral,Referrals,2025-01-20,2025-03-24,Brand Awareness,18498.85,257572,1090,1147,180,108,55,30,9,5,13887556.68,12916579.86,Momentum Digital,Grand Opening,High Net Worth
CMP-0065,Haven West - TikTok - Investment Returns,HVW,Paid Social,TikTok,2025-09-18,2025-10-11,Lead Generation,82512.12,1623049,7161,2548,515,266,115,83,20,13,34498343.54,31549906.78,Momentum Digital,Lifestyle & Community,High Net Worth
CMP-0066,Haven West - TikTok - Payment Plan Offer,HVW,Paid Social,TikTok,2026-02-17,2026-04-26,Launch Announcement,76469.87,1508437,2591,2708,425,232,86,58,19,12,30772354.58,30160771.79,Cairo Growth Partners,Lifestyle & Community,Mass Affluent
CMP-0067,Haven West - TikTok - Ramadan Campaign,HVW,Paid Social,TikTok,2024-11-30,2025-01-02,Brand Awareness,145814.26,1853063,8880,3265,811,469,209,154,36,23,60410448.02,58354432.56,In-House,Lifestyle & Community,Investor
CMP-0068,Haven West - WhatsApp - Referral Bonus,HVW,Direct,WhatsApp,2025-04-09,2025-05-05,Brand Awareness,10055.4,127366,3922,2180,314,172,73,46,9,6,17253198.14,16295252.69,Momentum Digital,Summer Getaway,First-Time Buyer
CMP-0069,Haven West - Google Display - Investment Returns,HVW,Paid Display,Google Display,2025-05-11,2025-06-27,Lead Generation,77123.13,1372591,2313,2005,295,148,56,35,6,3,8164704.54,8089193.98,In-House,Payment Plan Offer,High Net Worth
CMP-0070,Haven West - Brokers - New Phase Launch,HVW,Broker Network,Brokers,2024-08-04,2024-09-23,Retargeting,0.0,18600,761,591,86,43,22,14,3,2,4455658.84,4414333.94,Cairo Growth Partners,Grand Opening,Mass Affluent
CMP-0071,Haven West - TikTok - Ramadan Campaign,HVW,Paid Social,TikTok,2024-07-04,2024-08-11,Launch Announcement,145073.58,1788677,8688,2703,814,479,209,132,38,24,56090602.11,52893217.66,In-House,Summer Getaway,First-Time Buyer
CMP-0072,Haven West - Meta - Lifestyle & Community,HVW,Paid Social,Meta,2025-06-02,2025-07-13,Launch Announcement,142134.29,1422360,6205,2033,479,251,119,65,17,13,29179076.21,27992215.67,Momentum Digital,Grand Opening,Expat / Non-Resident
CMP-0073,Haven West - Google Display - Price Drop / Limited Units,HVW,Paid Display,Google Display,2026-03-23,2026-05-20,Launch Announcement,124696.15,1897854,2437,1561,357,150,79,56,10,6,17264671.76,17006402.79,In-House,Grand Opening,High Net Worth
CMP-0074,Haven West - Organic Website - Price Drop / Limited Units,HVW,Organic,Organic Website,2025-09-10,2025-10-28,Retargeting,5508.27,99031,696,344,96,49,23,17,3,1,2463460.38,2372214.52,Cairo Growth Partners,Referral Bonus,Expat / Non-Resident
CMP-0075,Haven West - WhatsApp - Summer Getaway,HVW,Direct,WhatsApp,2025-02-04,2025-03-25,Brand Awareness,4922.89,69598,1200,494,108,50,24,13,4,2,5392090.72,5108090.44,In-House,Ramadan Campaign,Mass Affluent
CMP-0076,Haven West - Property Portals - Grand Opening,HVW,Listings,Property Portals,2025-05-19,2025-07-21,Retargeting,164812.78,2122421,5648,1884,453,193,74,52,11,6,17343101.75,15628226.32,In-House,New Phase Launch,First-Time Buyer
CMP-0077,Haven West - Property Portals - Price Drop / Limited Units,HVW,Listings,Property Portals,2024-10-08,2024-12-15,Lead Generation,165400.86,3260957,4152,1112,308,139,66,52,14,8,21933830.23,21024491.48,Cairo Growth Partners,Ramadan Campaign,High Net Worth
CMP-0078,Haven West - Call Center - Referral Bonus,HVW,Direct,Call Center,2024-10-01,2024-11-21,Lead Generation,17819.2,252931,1904,843,261,142,54,33,6,3,6856006.22,6183867.83,In-House,Investment Returns,Investor
CMP-0079,Haven West - Referrals - Referral Bonus,HVW,Referral,Referrals,2025-12-16,2026-02-23,Launch Announcement,19841.13,420430,1984,809,161,88,40,26,6,3,8291603.82,7726956.9,Cairo Growth Partners,Grand Opening,First-Time Buyer
CMP-0080,Haven West - Google Search - Price Drop / Limited Units,HVW,Paid Search,Google Search,2026-03-12,2026-04-06,Launch Announcement,248433.27,3678005,4676,2164,419,226,92,61,15,11,32588655.24,29501674.69,In-House,Referral Bonus,Expat / Non-Resident
CMP-0081,Meridian Residences - Events - New Phase Launch,MER,Offline,Events,2025-04-11,2025-04-26,Launch Announcement,350508.37,4512145,2513,922,230,116,50,33,11,6,36457234.07,35034486.6,In-House,Ramadan Campaign,High Net Worth
CMP-0082,Meridian Residences - Events - Price Drop / Limited Units,MER,Offline,Events,2024-08-22,2024-10-04,Retargeting,304041.29,5865673,1939,1141,292,146,59,36,8,5,30587706.37,30525479.94,In-House,Grand Opening,Mass Affluent
CMP-0083,Meridian Residences - Call Center - Lifestyle & Community,MER,Direct,Call Center,2025-06-15,2025-08-13,Lead Generation,7908.47,93858,1174,743,122,67,24,16,3,2,12070940.66,11498247.63,In-House,New Phase Launch,Investor
CMP-0084,Meridian Residences - WhatsApp - Lifestyle & Community,MER,Direct,WhatsApp,2024-07-29,2024-09-15,Lead Generation,6809.99,94166,1455,447,123,53,18,14,2,1,6541346.71,6147684.44,In-House,Payment Plan Offer,High Net Worth
CMP-0085,Meridian Residences - WhatsApp - Lifestyle & Community,MER,Direct,WhatsApp,2025-02-19,2025-04-28,Lead Generation,9752.07,151461,2017,1095,300,138,60,44,8,6,35467850.13,32514667.24,In-House,Investment Returns,Expat / Non-Resident
CMP-0086,Meridian Residences - Google Search - Ramadan Campaign,MER,Paid Search,Google Search,2026-03-04,2026-04-27,Launch Announcement,280116.46,4356740,6486,2300,655,311,109,75,13,7,47446444.59,43127674.48,In-House,Grand Opening,High Net Worth
