milestone_id,project_id,phase,building,milestone_name,baseline_start_date,baseline_end_date,forecast_end_date,actual_end_date,planned_completion_pct,actual_completion_pct,variance_days,status,contractor,budgeted_cost,committed_cost,actual_cost,cost_variance,issue_category,issue_severity
MIL-0045,AUR,Phase 2,Building A,MEP,2023-07-13,2023-09-06,2023-09-06,2023-09-06,50.0,100.0,-4,Complete,Delta Construction Group,49150942.72,49150942.72,47887647.69,-1263295.03,,
MIL-0046,AUR,Phase 2,Building A,Internal Finishes,2023-09-06,2023-11-11,2023-11-19,2023-11-19,60.0,100.0,8,Complete,Prime MEP Solutions,32004000.11,32700914.16,33340994.16,1336994.05,,
MIL-0047,AUR,Phase 2,Building A,Landscaping,2023-11-11,2023-12-20,2023-12-22,,70.0,0.0,2,Not Started,Modern Facade Systems,27332981.21,27332981.21,0.0,-27332981.21,,
MIL-0048,AUR,Phase 2,Building A,Utilities Connection,2023-12-20,2024-01-24,2024-01-26,,80.0,0.0,2,Not Started,Cairo Structural Works,24598897.31,24598897.31,0.0,-24598897.31,,
MIL-0049,AUR,Phase 2,Building A,Authority Approvals,2024-01-24,2024-03-15,2024-03-22,,90.0,0.0,7,Not Started,Cairo Structural Works,46538039.86,46538039.86,0.0,-46538039.86,,
MIL-0050,AUR,Phase 2,Building A,Testing & Commissioning,2024-03-15,2024-05-04,2024-05-08,,100.0,0.0,4,Not Started,Modern Facade Systems,55425686.56,56065607.27,0.0,-55425686.56,,
MIL-0051,AUR,Phase 2,Building B,Excavation,2023-03-01,2023-03-28,2023-03-31,2023-03-31,10.0,100.0,3,Complete,Nile Engineering Contractors,28008985.63,28008985.63,28420968.54,411982.91,,
MIL-0052,AUR,Phase 2,Building B,Foundations,2023-03-28,2023-04-26,2023-05-02,2023-05-02,20.0,100.0,6,Complete,Horizon Build Partners,53273872.1,53273872.1,52490092.28,-783779.82,,
MIL-0053,AUR,Phase 2,Building B,Structural Frame,2023-04-26,2023-05-27,2023-06-03,2023-06-03,30.0,100.0,7,Complete,Cairo Structural Works,23042894.18,23042894.18,22854983.69,-187910.49,,
MIL-0054,AUR,Phase 2,Building B,Facade,2023-05-27,2023-07-27,2023-07-27,2023-07-27,40.0,100.0,-1,Complete,Nile Engineering Contractors,31190018.41,31190018.41,30797705.29,-392313.12,,
MIL-0055,AUR,Phase 2,Building B,MEP,2023-07-27,2023-09-08,2023-09-08,2023-09-08,50.0,100.0,-4,Complete,Horizon Build Partners,46742903.78,46742903.78,45369598.6,-1373305.18,,
MIL-0056,AUR,Phase 2,Building B,Internal Finishes,2023-09-08,2023-11-04,2023-11-15,2023-11-15,60.0,100.0,11,Complete,Modern Facade Systems,28511956.56,28511956.56,29001990.03,490033.47,,
MIL-0057,AUR,Phase 2,Building B,Landscaping,2023-11-04,2023-12-27,2023-12-29,,70.0,0.0,2,Not Started,Horizon Build Partners,36236057.41,36236057.41,0.0,-36236057.41,,
MIL-0058,AUR,Phase 2,Building B,Utilities Connection,2023-12-27,2024-02-07,2024-02-14,,80.0,0.0,7,Not Started,Nile Engineering Contractors,51413590.86,51413590.86,0.0,-51413590.86,,
MIL-0059,AUR,Phase 2,Building B,Authority Approvals,2024-02-07,2024-03-05,2024-03-05,,90.0,0.0,-2,Not Started,Prime MEP Solutions,44278340.96,45175894.66,0.0,-44278340.96,,
MIL-0060,AUR,Phase 2,Building B,Testing & Commissioning,2024-03-05,2024-05-03,2024-05-03,,100.0,0.0,-5,Not Started,Cairo Structural Works,15810752.32,15862322.22,0.0,-15810752.32,,
MIL-0061,AUR,Phase 2,Building C,Excavation,2023-03-01,2023-04-14,2023-05-20,2023-05-20,10.0,100.0,36,Complete (Delayed),Cairo Structural Works,8572531.46,8572531.46,8666170.97,93639.51,Permit Delay,MEDIUM
MIL-0062,AUR,Phase 2,Building C,Foundations,2023-04-14,2023-06-09,2023-06-12,2023-06-12,20.0,100.0,3,Complete,Modern Facade Systems,23335769.55,23335769.55,22675141.0,-660628.55,,
MIL-0063,AUR,Phase 2,Building C,Structural Frame,2023-06-09,2023-08-03,2023-08-08,2023-08-08,30.0,100.0,5,Complete,Modern Facade Systems,54099479.24,54435644.69,55517634.28,1418155.04,,
MIL-0064,AUR,Phase 2,Building C,Facade,2023-08-03,2023-09-16,2023-09-23,2023-09-23,40.0,100.0,7,Complete,Modern Facade Systems,53147337.36,53147337.36,51603070.8,-1544266.56,,
MIL-0065,AUR,Phase 2,Building C,MEP,2023-09-16,2023-11-11,2023-11-11,2023-11-11,50.0,100.0,-3,Complete,Nile Engineering Contractors,53958063.41,53958063.41,53547166.27,-410897.14,,
MIL-0066,AUR,Phase 2,Building C,Internal Finishes,2023-11-11,2024-01-19,2024-01-19,2024-01-19,60.0,100.0,-4,Complete,Horizon Build Partners,30889481.44,31636792.28,32254581.91,1365100.47,,
MIL-0067,AUR,Phase 2,Building C,Landscaping,2024-01-19,2024-02-28,2024-02-28,,70.0,0.0,-2,Not Started,Prime MEP Solutions,35512054.77,35512054.77,0.0,-35512054.77,,
MIL-0068,AUR,Phase 2,Building C,Utilities Connection,2024-02-28,2024-04-24,2024-04-25,,80.0,0.0,1,Not Started,Prime MEP Solutions,25196522.6,25196522.6,0.0,-25196522.6,,
MIL-0069,AUR,Phase 2,Building C,Authority Approvals,2024-04-24,2024-06-29,2024-07-02,,90.0,0.0,3,Not Started,Delta Construction Group,28005343.99,28005343.99,0.0,-28005343.99,,
MIL-0070,AUR,Phase 2,Building C,Testing & Commissioning,2024-06-29,2024-07-26,2024-07-26,,100.0,0.0,-4,Not Started,Prime MEP Solutions,46943466.72,47228731.73,0.0,-46943466.72,,
MIL-0071,AUR,Phase 2,Building D,Excavation,2023-03-01,2023-04-16,2023-04-27,2023-04-27,10.0,100.0,11,Complete,Nile Engineering Contractors,9613141.11,9613141.11,9724510.29,111369.18,,
MIL-0072,AUR,Phase 2,Building D,Foundations,2023-04-16,2023-05-22,2023-06-01,2023-06-01,20.0,100.0,10,Complete,Cairo Structural Works,42684928.58,42684928.58,42334410.37,-350518.21,,
MIL-0073,AUR,Phase 2,Building D,Structural Frame,2023-05-22,2023-07-19,2023-07-20,2023-07-20,30.0,100.0,1,Complete,Cairo Structural Works,18971153.85,18971153.85,19050648.47,79494.62,,
MIL-0074,AUR,Phase 2,Building D,Facade,2023-07-19,2023-08-30,2023-08-30,2023-08-30,40.0,100.0,-3,Complete,Nile Engineering Contractors,27775389.87,27974789.77,28530297.57,754907.7,,
MIL-0075,AUR,Phase 2,Building D,MEP,2023-08-30,2023-10-28,2023-10-28,2023-10-28,50.0,100.0,0,Complete,Modern Facade Systems,41477119.24,41728037.21,42557579.59,1080460.35,,
MIL-0076,AUR,Phase 2,Building D,Internal Finishes,2023-10-28,2023-12-08,2023-12-08,2023-12-08,60.0,100.0,-5,Complete,Delta Construction Group,8195966.29,8195966.29,8078086.73,-117879.56,,
MIL-0077,AUR,Phase 2,Building D,Landscaping,2023-12-08,2024-02-06,2024-02-17,,70.0,0.0,11,Not Started,Nile Engineering Contractors,40410809.06,40629634.58,0.0,-40410809.06,,
MIL-0078,AUR,Phase 2,Building D,Utilities Connection,2024-02-06,2024-03-30,2024-04-03,,80.0,0.0,4,Not Started,Horizon Build Partners,43090040.57,43905354.49,0.0,-43090040.57,,
MIL-0079,AUR,Phase 2,Building D,Authority Approvals,2024-03-30,2024-05-01,2024-05-01,,90.0,0.0,-4,Not Started,Nile Engineering Contractors,29639030.36,30158410.36,0.0,-29639030.36,,
MIL-0080,AUR,Phase 2,Building D,Testing & Commissioning,2024-05-01,2024-07-01,2024-07-03,,100.0,0.0,2,Not Started,Delta Construction Group,58982581.06,58982581.06,0.0,-58982581.06,,
MIL-0081,AUR,Phase 3,Building A,Excavation,2023-03-01,2023-03-27,2023-04-07,2023-04-07,10.0,100.0,11,Complete,Prime MEP Solutions,46562221.64,47887559.46,48818803.89,2256582.25,,
MIL-0082,AUR,Phase 3,Building A,Foundations,2023-03-27,2023-04-24,2023-04-27,2023-04-27,20.0,100.0,3,Complete,Delta Construction Group,46663587.67,46663587.67,47444016.56,780428.89,,
MIL-0083,AUR,Phase 3,Building A,Structural Frame,2023-04-24,2023-05-26,2023-05-30,2023-05-30,30.0,100.0,4,Complete,Horizon Build Partners,23335103.36,23504978.64,23971680.71,636577.35,,
MIL-0084,AUR,Phase 3,Building A,Facade,2023-05-26,2023-06-24,2023-06-29,2023-06-29,40.0,100.0,5,Complete,Modern Facade Systems,11592739.53,11592739.53,11378384.2,-214355.33,,
MIL-0085,AUR,Phase 3,Building A,MEP,2023-06-24,2023-08-01,2023-08-01,2023-08-01,50.0,100.0,0,Complete,Cairo Structural Works,58010758.08,59104773.26,60264988.42,2254230.34,,
MIL-0086,AUR,Phase 3,Building A,Internal Finishes,2023-08-01,2023-09-05,2023-09-07,2023-09-07,60.0,100.0,2,Complete,Prime MEP Solutions,8879702.0,8879702.0,8824751.43,-54950.57,,
MIL-0087,AUR,Phase 3,Building A,Landscaping,2023-09-05,2023-10-04,2023-10-07,,70.0,0.0,3,Not Started,Horizon Build Partners,20595737.15,20595737.15,0.0,-20595737.15,,
MIL-0088,AUR,Phase 3,Building A,Utilities Connection,2023-10-04,2023-12-08,2023-12-12,,80.0,0.0,4,Not Started,Modern Facade Systems,47181920.48,47551918.13,0.0,-47181920.48,,
MIL-0089,AUR,Phase 3,Building A,Authority Approvals,2023-12-08,2024-01-23,2024-01-23,,90.0,0.0,-5,Not Started,Nile Engineering Contractors,31708085.72,32029642.6,0.0,-31708085.72,,
MIL-0090,AUR,Phase 3,Building A,Testing & Commissioning,2024-01-23,2024-03-06,2024-03-06,,100.0,0.0,-3,Not Started,Delta Construction Group,8360426.53,8360426.53,0.0,-8360426.53,,
MIL-0091,AUR,Phase 3,Building B,Excavation,2023-03-01,2023-04-03,2023-04-12,2023-04-12,10.0,100.0,9,Complete,Modern Facade Systems,39112305.08,39448684.23,40230930.33,1118625.25,,
MIL-0092,AUR,Phase 3,Building B,Foundations,2023-04-03,2023-05-08,2023-06-20,2023-06-20,20.0,100.0,43,Complete (Delayed),Cairo Structural Works,18292201.49,19894849.26,20260693.29,1968491.8,Labor Shortage,MEDIUM
MIL-0093,AUR,Phase 3,Building B,Structural Frame,2023-05-08,2023-07-03,2023-07-14,2023-07-14,30.0,100.0,11,Complete,Modern Facade Systems,14257437.21,14468272.67,14753421.42,495984.21,,
MIL-0094,AUR,Phase 3,Building B,Facade,2023-07-03,2023-08-18,2023-08-27,2023-08-27,40.0,100.0,9,Complete,Prime MEP Solutions,23165410.09,23165410.09,22860148.44,-305261.65,,
MIL-0095,AUR,Phase 3,Building B,MEP,2023-08-18,2023-10-16,2023-10-18,2023-10-18,50.0,100.0,2,Complete,Horizon Build Partners,14164160.29,14164160.29,13794663.29,-369497.0,,
MIL-0096,AUR,Phase 3,Building B,Internal Finishes,2023-10-16,2023-12-09,2023-12-17,2023-12-17,60.0,100.0,8,Complete,Prime MEP Solutions,43829693.5,44975359.82,45851953.69,2022260.19,,
MIL-0097,AUR,Phase 3,Building B,Landscaping,2023-12-09,2024-01-16,2024-01-16,,70.0,0.0,-2,Not Started,Prime MEP Solutions,40065333.29,41044733.61,0.0,-40065333.29,,
MIL-0098,AUR,Phase 3,Building B,Utilities Connection,2024-01-16,2024-02-24,2024-03-04,,80.0,0.0,9,Not Started,Horizon Build Partners,37778179.1,37778179.1,0.0,-37778179.1,,
MIL-0099,AUR,Phase 3,Building B,Authority Approvals,2024-02-24,2024-03-30,2024-03-30,,90.0,0.0,-1,Not Started,Nile Engineering Contractors,42233578.83,42233578.83,0.0,-42233578.83,,
MIL-0100,AUR,Phase 3,Building B,Testing & Commissioning,2024-03-30,2024-04-25,2024-04-25,,100.0,0.0,-2,Not Started,Nile Engineering Contractors,11841639.61,11841639.61,0.0,-11841639.61,,
MIL-0101,AUR,Phase 3,Building C,Excavation,2023-03-01,2023-03-28,2023-05-06,2023-05-06,10.0,100.0,39,Complete (Delayed),Delta Construction Group,33316549.15,34464865.01,35131195.99,1814646.84,Materials Procurement Delay,MEDIUM
MIL-0102,AUR,Phase 3,Building C,Foundations,2023-03-28,2023-05-15,2023-05-16,2023-05-16,20.0,100.0,1,Complete,Horizon Build Partners,53469127.01,53469127.01,52071640.37,-1397486.64,,
MIL-0103,AUR,Phase 3,Building C,Structural Frame,2023-05-15,2023-06-22,2023-08-02,2023-08-02,30.0,100.0,41,Complete (Delayed),Horizon Build Partners,20143848.41,20143848.41,19785309.16,-358539.25,Labor Shortage,MEDIUM
MIL-0104,AUR,Phase 3,Building C,Facade,2023-06-22,2023-08-02,2023-08-11,2023-08-11,40.0,100.0,9,Complete,Horizon Build Partners,10679258.92,10679258.92,10832350.16,153091.24,,
MIL-0105,AUR,Phase 3,Building C,MEP,2023-08-02,2023-09-17,2023-09-20,2023-09-20,50.0,100.0,3,Complete,Nile Engineering Contractors,53932131.93,54818336.45,55896979.09,1964847.16,,
MIL-0106,AUR,Phase 3,Building C,Internal Finishes,2023-09-17,2023-11-05,2023-11-09,2023-11-09,60.0,100.0,4,Complete,Horizon Build Partners,55606081.39,55606081.39,56036811.39,430730.0,,
MIL-0107,AUR,Phase 3,Building C,Landscaping,2023-11-05,2024-01-13,2024-01-22,,70.0,0.0,9,Not Started,Prime MEP Solutions,16094079.22,16094079.22,0.0,-16094079.22,,
MIL-0108,AUR,Phase 3,Building C,Utilities Connection,2024-01-13,2024-03-13,2024-03-16,,80.0,0.0,3,Not Started,Cairo Structural Works,12344104.72,12433885.11,0.0,-12344104.72,,
MIL-0109,AUR,Phase 3,Building C,Authority Approvals,2024-03-13,2024-05-16,2024-05-18,,90.0,0.0,2,Not Started,Nile Engineering Contractors,55833523.12,56475373.55,0.0,-55833523.12,,
MIL-0110,AUR,Phase 3,Building C,Testing & Commissioning,2024-05-16,2024-06-17,2024-06-18,,100.0,0.0,1,Not Started,Delta Construction Group,52613004.29,52613004.29,0.0,-52613004.29,,
MIL-0111,AUR,Phase 3,Building D,Excavation,2023-03-01,2023-04-23,2023-04-28,2023-04-28,10.0,100.0,5,Complete,Horizon Build Partners,21429606.55,21429606.55,21580096.84,150490.29,,
MIL-0112,AUR,Phase 3,Building D,Foundations,2023-04-23,2023-07-01,2023-07-06,2023-07-06,20.0,100.0,5,Complete,Cairo Structural Works,37672768.97,37672768.97,37861806.7,189037.73,,
MIL-0113,AUR,Phase 3,Building D,Structural Frame,2023-07-01,2023-08-21,2023-08-22,2023-08-22,30.0,100.0,1,Complete,Delta Construction Group,57809843.2,57809843.2,57184993.17,-624850.03,,
MIL-0114,AUR,Phase 3,Building D,Facade,2023-08-21,2023-09-16,2023-09-16,2023-09-16,40.0,100.0,-2,Complete,Horizon Build Partners,47249933.53,47422478.93,48367477.6,1117544.07,,
MIL-0115,AUR,Phase 3,Building D,MEP,2023-09-16,2023-11-07,2023-11-08,2023-11-08,50.0,100.0,1,Complete,Cairo Structural Works,31279000.74,31279000.74,31617884.17,338883.43,,
MIL-0116,AUR,Phase 3,Building D,Internal Finishes,2023-11-07,2023-12-09,2023-12-16,2023-12-16,60.0,100.0,7,Complete,Prime MEP Solutions,37904059.25,37904059.25,37457725.65,-446333.6,,
MIL-0117,AUR,Phase 3,Building D,Landscaping,2023-12-09,2024-01-09,2024-01-10,,70.0,0.0,1,Not Started,Nile Engineering Contractors,51229597.08,51229597.08,0.0,-51229597.08,,
MIL-0118,AUR,Phase 3,Building D,Utilities Connection,2024-01-09,2024-03-16,2024-03-27,,80.0,0.0,11,Not Started,Nile Engineering Contractors,24338215.82,24425381.21,0.0,-24338215.82,,
MIL-0119,AUR,Phase 3,Building D,Authority Approvals,2024-03-16,2024-05-01,2024-05-05,,90.0,0.0,4,Not Started,Nile Engineering Contractors,50230357.71,50230357.71,0.0,-50230357.71,,
MIL-0120,AUR,Phase 3,Building D,Testing & Commissioning,2024-05-01,2024-06-12,2024-06-12,,100.0,0.0,-1,Not Started,Modern Facade Systems,10389367.26,10603063.83,0.0,-10389367.26,,
MIL-0121,CST,Phase 1,Building A,Excavation,2023-06-01,2023-07-28,2023-08-05,2023-08-05,10.0,100.0,8,Complete,Modern Facade Systems,48490351.67,48490351.67,47731669.97,-758681.7,,
MIL-0122,CST,Phase 1,Building A,Foundations,2023-07-28,2023-09-28,2023-10-07,2023-10-07,20.0,100.0,9,Complete,Modern Facade Systems,42264041.19,42264041.19,42064667.98,-199373.21,,
MIL-0123,CST,Phase 1,Building A,Structural Frame,2023-09-28,2023-11-17,2023-11-24,2023-11-24,30.0,100.0,7,Complete,Delta Construction Group,19892146.06,19892146.06,20161668.59,269522.53,,
MIL-0124,CST,Phase 1,Building A,Facade,2023-11-17,2023-12-13,2023-12-13,2023-12-13,40.0,100.0,-5,Complete,Delta Construction Group,44685871.24,45353556.76,46247274.18,1561402.94,,
MIL-0125,CST,Phase 1,Building A,MEP,2023-12-13,2024-01-16,2024-02-16,2024-02-16,50.0,100.0,31,Complete (Delayed),Cairo Structural Works,36867543.18,39509472.22,40246823.09,3379279.91,Materials Procurement Delay,MEDIUM
MIL-0126,CST,Phase 1,Building A,Internal Finishes,2024-01-16,2024-02-14,2024-03-27,,60.0,39.3,42,At Risk,Cairo Structural Works,20085524.18,20085524.18,19682798.52,-402725.66,Labor Shortage,MEDIUM
MIL-0127,CST,Phase 1,Building A,Landscaping,2024-02-14,2024-04-04,2024-04-28,,70.0,0.0,24,Not Started,Cairo Structural Works,34855689.49,34855689.49,0.0,-34855689.49,Labor Shortage,MEDIUM
MIL-0128,CST,Phase 1,Building A,Utilities Connection,2024-04-04,2024-05-03,2024-05-14,,80.0,0.0,11,Not Started,Prime MEP Solutions,31057533.48,31057533.48,0.0,-31057533.48,,
MIL-0129,CST,Phase 1,Building A,Authority Approvals,2024-05-03,2024-06-04,2024-06-04,,90.0,0.0,-2,Not Started,Horizon Build Partners,12214391.35,12214391.35,0.0,-12214391.35,,
MIL-0130,CST,Phase 1,Building A,Testing & Commissioning,2024-06-04,2024-07-27,2024-07-27,,100.0,0.0,-1,Not Started,Prime MEP Solutions,20413188.42,20413188.42,0.0,-20413188.42,,
